filename mjd N_bkg read_noise
lsc1m009-fl03-20141110-0107-e90.fits 56972.0841149 567.0 12.727922061357855
lsc1m009-fl03-20141110-0108-e90.fits 56972.0882081 563.0 14.866068747318506
lsc1m009-fl03-20141110-0109-e90.fits 56972.0922453 575.0 14.45683229480096
lsc1m009-fl03-20141110-0110-e90.fits 56972.0964601 576.0 10.0
lsc1m009-fl03-20141110-0111-e90.fits 56972.100525 578.0 16.217274740226856
lsc1m009-fl03-20141110-0112-e90.fits 56972.1045606 617.0 14.966629547095765
lsc1m009-fl03-20141110-0113-e90.fits 56972.1087301 655.0 11.357816691600547
lsc1m009-fl03-20141110-0114-e90.fits 56972.112812 748.0 16.61324772583615
lsc1m009-fl03-20141110-0115-e90.fits 56972.1168416 858.0 10.14889156509222
lsc1m004-fl04-20141110-0111-e90.fits 56972.1679837 4403.0 211.85136298829894
lsc1m004-fl04-20141110-0112-e90.fits 56972.1720396 4452.0 207.53794833716555
lsc1m004-fl04-20141110-0113-e90.fits 56972.1760583 4551.0 220.9298531208492
lsc1m004-fl04-20141110-0114-e90.fits 56972.1802764 4584.0 227.12331452319023
lsc1m004-fl04-20141110-0115-e90.fits 56972.1843421 4623.0 244.7304639802736
lsc1m004-fl04-20141110-0116-e90.fits 56972.1883681 4691.0 255.99609372019722
lsc1m004-fl04-20141110-0117-e90.fits 56972.1925445 4695.0 233.13944325231628
lsc1m004-fl04-20141110-0118-e90.fits 56972.1966023 4734.0 251.7677501190333
lsc1m004-fl04-20141110-0119-e90.fits 56972.2006263 4752.0 241.34829603707584
coj1m011-kb05-20141111-0110-e90.fits 56972.4591941 437.0 18.627936010197157
coj1m011-kb05-20141111-0111-e90.fits 56972.4628486 430.0 17.291616465790582
coj1m011-kb05-20141111-0112-e90.fits 56972.4665097 414.0 14.52583904633395
coj1m011-kb05-20141111-0113-e90.fits 56972.4701635 421.0 10.392304845413264
coj1m011-kb05-20141111-0114-e90.fits 56972.4738205 421.0 14.2828568570857
coj1m011-kb05-20141111-0115-e90.fits 56972.4774972 407.0 16.401219466856727
coj1m011-kb05-20141111-0116-e90.fits 56972.4811564 407.0 14.7648230602334
coj1m011-kb05-20141111-0117-e90.fits 56972.4848157 396.0 16.73320053068151
coj1m011-kb05-20141111-0118-e90.fits 56972.4884685 396.0 15.132745950421556
coj1m011-kb05-20141111-0119-e90.fits 56972.4921267 392.0 11.704699910719626
lsc1m009-fl03-20141201-0115-e90.fits 56993.2122035 4448.0 6.4031242374328485
lsc1m009-fl03-20141201-0116-e90.fits 56993.2232163 4355.0 20.149441679609886
lsc1m009-fl03-20141201-0117-e90.fits 56993.2341927 4179.0 39.96248240537617
lsc1m009-fl03-20141201-0118-e90.fits 56993.2451697 3796.0 37.255872020394314
lsc1m004-fl04-20141201-0121-e90.fits 56993.2715861 3061.0 35.98610843089316
lsc1m004-fl04-20141201-0122-e90.fits 56993.2826091 1800.0 17.776388834631177
lsc1m004-fl04-20141201-0123-e90.fits 56993.2935901 1518.0 20.445048300260872
lsc1m004-fl04-20141201-0124-e90.fits 56993.3045593 1511.0 24.596747752497688
lsc1m004-fl04-20141216-0075-e90.fits 57008.0353569 989.0 15.362291495737216
lsc1m004-fl04-20141216-0076-e90.fits 57008.0394209 658.0 8.426149773176359
lsc1m004-fl04-20141216-0077-e90.fits 57008.0434403 534.0 9.539392014169456
lsc1m004-fl04-20141216-0078-e90.fits 57008.0474871 487.0 11.74734012447073
lsc1m004-fl04-20141216-0079-e90.fits 57008.0515023 475.0 14.177446878757825
lsc1m004-fl04-20141216-0080-e90.fits 57008.0555272 461.0 16.3707055437449
lsc1m004-fl04-20141216-0081-e90.fits 57008.0597119 211.0 12.24744871391589
lsc1m004-fl04-20141216-0082-e90.fits 57008.0639228 457.0 12.96148139681572
lsc1m004-fl04-20141216-0083-e90.fits 57008.0679823 455.0 14.866068747318506
lsc1m004-fl04-20141216-0084-e90.fits 57008.0720166 460.0 10.770329614269007
lsc1m004-fl04-20141216-0085-e90.fits 57008.0760385 448.0 13.30413469565007
lsc1m004-fl04-20141216-0086-e90.fits 57008.08006 436.0 9.643650760992955
lsc1m004-fl04-20141216-0087-e90.fits 57008.0841032 430.0 13.96424004376894
lsc1m004-fl04-20141216-0088-e90.fits 57008.0881272 425.0 14.142135623730951
lsc1m004-fl04-20141216-0089-e90.fits 57008.0921436 422.0 14.247806848775006
lsc1m004-fl04-20141216-0090-e90.fits 57008.096172 420.0 12.489995996796797
lsc1m004-fl04-20141216-0091-e90.fits 57008.1002092 417.0 14.422205101855956
lsc1m004-fl04-20141216-0092-e90.fits 57008.1042234 414.0 12.727922061357855
lsc1m004-fl04-20141216-0093-e90.fits 57008.1082457 413.0 12.767145334803704
lsc1m004-fl04-20141216-0094-e90.fits 57008.1122926 408.0 12.96148139681572
lsc1m004-fl04-20141216-0095-e90.fits 57008.1165182 198.0 12.767145334803704
lsc1m004-fl04-20141216-0096-e90.fits 57008.1207029 412.0 14.594519519326424
lsc1m004-fl04-20141216-0097-e90.fits 57008.1247694 410.0 10.908712114635714
lsc1m004-fl04-20141216-0098-e90.fits 57008.128795 405.0 8.888194417315589
lsc1m004-fl04-20141216-0099-e90.fits 57008.1328164 400.0 11.357816691600547
lsc1m004-fl04-20141216-0100-e90.fits 57008.1368453 408.0 14.730919862656235
lsc1m004-fl04-20141216-0101-e90.fits 57008.1408689 409.0 12.922847983320086
lsc1m004-fl04-20141216-0102-e90.fits 57008.1448883 406.0 11.090536506409418
lsc1m004-fl04-20141216-0103-e90.fits 57008.1489087 406.0 13.038404810405298
lsc1m004-fl04-20141216-0104-e90.fits 57008.1529257 402.0 9.055385138137417
lsc1m004-fl04-20141216-0105-e90.fits 57008.1569684 403.0 14.89966442575134
lsc1m004-fl04-20141216-0106-e90.fits 57008.1609917 399.0 9.219544457292887
lsc1m004-fl04-20141216-0107-e90.fits 57008.1650153 404.0 13.114877048604
lsc1m004-fl04-20141216-0108-e90.fits 57008.1690417 400.0 13.2664991614216
lsc1m004-fl04-20141216-0109-e90.fits 57008.1730616 400.0 13.2664991614216
lsc1m004-fl04-20141216-0110-e90.fits 57008.1771387 405.0 13.076696830622021
lsc1m004-fl04-20141216-0111-e90.fits 57008.1813523 199.0 11.180339887498949
lsc1m004-fl04-20141216-0112-e90.fits 57008.1855861 403.0 11.224972160321824
lsc1m004-fl04-20141216-0113-e90.fits 57008.1896615 409.0 14.696938456699069
lsc1m004-fl04-20141216-0114-e90.fits 57008.1936849 410.0 14.66287829861518
lsc1m004-fl04-20141216-0115-e90.fits 57008.1977089 406.0 11.090536506409418
lsc1m004-fl04-20141216-0116-e90.fits 57008.2017303 413.0 10.770329614269007
lsc1m004-fl04-20141216-0117-e90.fits 57008.2057575 410.0 10.908712114635714
lsc1m004-fl04-20141216-0118-e90.fits 57008.2097744 414.0 12.727922061357855
lsc1m004-fl04-20141216-0119-e90.fits 57008.2137897 423.0 12.36931687685298
lsc1m004-fl04-20141216-0120-e90.fits 57008.2178242 433.0 9.797958971132712
lsc1m004-fl04-20141216-0121-e90.fits 57008.2218525 439.0 11.704699910719626
lsc1m004-fl04-20141216-0122-e90.fits 57008.2258691 440.0 9.433981132056603
lsc1m004-fl04-20141216-0123-e90.fits 57008.2298905 445.0 13.416407864998739
lsc1m004-fl04-20141216-0124-e90.fits 57008.233917 447.0 15.132745950421556
lsc1m004-fl04-20141216-0125-e90.fits 57008.2379349 450.0 11.224972160321824
lsc1m004-fl04-20141216-0126-e90.fits 57008.2421599 205.0 12.489995996796797
lsc1m004-fl04-20141216-0127-e90.fits 57008.2463465 446.0 9.1104335791443
lsc1m004-fl04-20141216-0128-e90.fits 57008.2504054 442.0 13.527749258468683
lsc1m004-fl04-20141216-0129-e90.fits 57008.2544334 441.0 11.61895003862225
lsc1m004-fl04-20141216-0130-e90.fits 57008.2584688 451.0 13.19090595827292
lsc1m004-fl04-20141216-0131-e90.fits 57008.262493 466.0 12.609520212918492
lsc1m004-fl04-20141216-0132-e90.fits 57008.2665195 485.0 11.832159566199232
lsc1m004-fl04-20141216-0133-e90.fits 57008.2705373 511.0 10.677078252031311
lsc1m004-fl04-20141216-0134-e90.fits 57008.2745757 513.0 14.696938456699069
lsc1m004-fl04-20141216-0135-e90.fits 57008.2786007 525.0 10.0
lsc1m004-fl04-20141216-0136-e90.fits 57008.2826434 532.0 15.874507866387544
lsc1m004-fl04-20141216-0137-e90.fits 57008.2866715 546.0 11.40175425099138
lsc1m004-fl04-20141216-0138-e90.fits 57008.2906948 552.0 13.30413469565007
lsc1m004-fl04-20141216-0139-e90.fits 57008.2947218 580.0 14.2828568570857
lsc1m004-fl04-20141216-0140-e90.fits 57008.2987498 585.0 14.106735979665885
lsc1m004-fl04-20141216-0141-e90.fits 57008.3029711 599.0 15.556349186104045
lsc1m004-fl04-20141216-0142-e90.fits 57008.3070413 604.0 15.394804318340652
lsc1m004-fl04-20141216-0143-e90.fits 57008.3110612 602.0 15.459624833740307
lsc1m004-fl04-20141216-0144-e90.fits 57008.3150944 623.0 10.295630140987
lsc1m004-fl04-20141216-0145-e90.fits 57008.319118 648.0 11.661903789690601
lsc1m004-fl04-20141216-0146-e90.fits 57008.3231382 674.0 15.033296378372908
cpt1m010-kb70-20141217-0081-e90.fits 57008.7842306 939.0 16.911534525287763
cpt1m010-kb70-20141217-0082-e90.fits 57008.7878784 604.0 15.394804318340652
cpt1m010-kb70-20141217-0083-e90.fits 57008.7915368 459.0 18.027756377319946
cpt1m010-kb70-20141217-0084-e90.fits 57008.7951947 389.0 16.941074346097416
cpt1m010-kb70-20141217-0085-e90.fits 57008.7988455 353.0 16.492422502470642
cpt1m010-kb70-20141217-0086-e90.fits 57008.8024998 339.0 16.911534525287763
cpt1m010-kb70-20141217-0087-e90.fits 57008.8064032 192.0 19.595917942265423
cpt1m010-kb70-20141217-0088-e90.fits 57008.8102254 323.0 17.378147196982766
cpt1m010-kb70-20141217-0089-e90.fits 57008.8138795 319.0 18.894443627691185
cpt1m010-kb70-20141217-0090-e90.fits 57008.8175344 313.0 14.696938456699069
cpt1m010-kb70-20141217-0091-e90.fits 57008.8211911 309.0 17.776388834631177
cpt1m010-kb70-20141217-0092-e90.fits 57008.8248639 310.0 14.798648586948742
cpt1m010-kb70-20141217-0093-e90.fits 57008.8285322 315.0 16.15549442140351
cpt1m010-kb70-20141217-0094-e90.fits 57008.8322179 316.0 16.1245154965971
cpt1m010-kb70-20141217-0095-e90.fits 57008.8358826 320.0 20.223748416156685
cpt1m010-kb70-20141217-0096-e90.fits 57008.839532 319.0 18.894443627691185
cpt1m010-kb70-20141217-0097-e90.fits 57008.8432023 320.0 16.0
cpt1m010-kb70-20141217-0098-e90.fits 57008.8468567 321.0 17.435595774162696
cpt1m010-kb70-20141217-0099-e90.fits 57008.8505106 319.0 17.4928556845359
cpt1m010-kb70-20141217-0100-e90.fits 57008.8541621 319.0 14.491376746189438
cpt1m010-kb70-20141217-0101-e90.fits 57008.857823 322.0 17.406895185529212
cpt1m010-kb70-20141217-0102-e90.fits 57008.8614755 320.0 16.0
cpt1m010-kb70-20141217-0103-e90.fits 57008.8651206 322.0 18.81488772222678
cpt1m010-kb70-20141217-0104-e90.fits 57008.8690696 174.0 15.033296378372908
cpt1m010-kb70-20141217-0105-e90.fits 57008.8728868 325.0 18.734993995195193
cpt1m010-kb70-20141217-0106-e90.fits 57008.8765411 320.0 16.0
cpt1m010-kb70-20141217-0107-e90.fits 57008.8801997 317.0 17.549928774784245
cpt1m010-kb70-20141217-0108-e90.fits 57008.883859 314.0 14.66287829861518
cpt1m010-kb70-20141217-0109-e90.fits 57008.887519 314.0 14.66287829861518
cpt1m010-kb70-20141217-0110-e90.fits 57008.8911719 308.0 16.3707055437449
cpt1m010-kb70-20141217-0111-e90.fits 57008.8948305 309.0 19.157244060668017
cpt1m010-kb70-20141217-0112-e90.fits 57008.8985153 308.0 19.183326093250876
cpt1m010-kb70-20141217-0113-e90.fits 57008.9021869 304.0 17.916472867168917
cpt1m010-kb70-20141217-0114-e90.fits 57008.9058384 303.0 17.944358444926362
cpt1m010-kb70-20141217-0115-e90.fits 57008.909484 300.0 18.027756377319946
cpt1m010-kb70-20141217-0116-e90.fits 57008.9131394 300.0 19.390719429665317
cpt1m010-kb70-20141217-0117-e90.fits 57008.9167999 295.0 15.297058540778355
cpt1m010-kb70-20141217-0118-e90.fits 57008.920477 292.0 15.394804318340652
cpt1m010-kb70-20141217-0119-e90.fits 57008.924162 295.0 19.519221295943137
cpt1m010-kb70-20141217-0120-e90.fits 57008.9278322 288.0 14.0
cpt1m010-kb70-20141217-0121-e90.fits 57008.9317043 163.0 16.673332000533065
cpt1m010-kb70-20141217-0122-e90.fits 57008.9355922 285.0 14.106735979665885
cpt1m010-kb70-20141217-0123-e90.fits 57008.9392554 284.0 15.652475842498529
cpt1m010-kb70-20141217-0124-e90.fits 57008.942906 278.0 14.352700094407323
cpt1m010-kb70-20141217-0125-e90.fits 57008.9465664 281.0 17.175564037317667
cpt1m010-kb70-20141217-0126-e90.fits 57008.9502207 281.0 18.547236990991408
cpt1m010-kb70-20141217-0127-e90.fits 57008.9538737 277.0 17.291616465790582
cpt1m010-kb70-20141217-0128-e90.fits 57008.9575328 275.0 20.024984394500787
cpt1m010-kb70-20141217-0129-e90.fits 57008.9611907 273.0 20.074859899884732
cpt1m010-kb70-20141217-0130-e90.fits 57008.9648409 269.0 18.867962264113206
cpt1m010-kb70-20141217-0131-e90.fits 57008.9684996 270.0 20.149441679609886
cpt1m010-kb70-20141217-0132-e90.fits 57008.9721559 270.0 17.4928556845359
cpt1m010-kb70-20141217-0133-e90.fits 57008.97582 271.0 14.594519519326424
cpt1m010-kb70-20141217-0134-e90.fits 57008.9794745 275.0 14.45683229480096
cpt1m010-kb70-20141217-0135-e90.fits 57008.9831239 276.0 14.422205101855956
cpt1m010-kb70-20141217-0136-e90.fits 57008.9868408 281.0 18.547236990991408
cpt1m010-kb70-20141217-0137-e90.fits 57008.9905139 282.0 18.520259177452136
cpt1m010-kb70-20141217-0138-e90.fits 57008.9941662 281.0 15.748015748023622
cpt1m010-kb70-20141217-0139-e90.fits 57008.9980488 166.0 15.297058540778355
cpt1m010-kb70-20141217-0140-e90.fits 57009.0019357 293.0 18.2208671582886
cpt1m010-kb70-20141217-0141-e90.fits 57009.0055949 294.0 16.792855623746664
cpt1m010-kb70-20141217-0142-e90.fits 57009.0092609 300.0 18.027756377319946
cpt1m010-kb70-20141217-0143-e90.fits 57009.0129177 308.0 17.804493814764857
cpt1m010-kb70-20141217-0144-e90.fits 57009.016598 313.0 16.217274740226856
cpt1m010-kb70-20141217-0145-e90.fits 57009.0202648 324.0 20.12461179749811
cpt1m010-kb70-20141217-0146-e90.fits 57009.0239351 331.0 14.071247279470288
cpt1m010-kb70-20141217-0147-e90.fits 57009.0275932 344.0 13.601470508735444
lsc1m009-fl03-20141217-0010-e90.fits 57009.0308932 2232.0 16.3707055437449
cpt1m010-kb70-20141217-0148-e90.fits 57009.0312551 354.0 16.46207763315433
cpt1m010-kb70-20141217-0149-e90.fits 57009.0349108 369.0 20.37154878746336
lsc1m009-fl03-20141217-0011-e90.fits 57009.0350146 1134.0 12.727922061357855
cpt1m010-kb70-20141217-0150-e90.fits 57009.0385675 377.0 17.291616465790582
lsc1m009-fl03-20141217-0012-e90.fits 57009.0390511 738.0 10.14889156509222
cpt1m010-kb70-20141217-0151-e90.fits 57009.0422301 381.0 18.65475810617763
lsc1m009-fl03-20141217-0013-e90.fits 57009.043069 584.0 12.041594578792296
cpt1m010-kb70-20141217-0152-e90.fits 57009.0458908 392.0 16.852299546352718
lsc1m009-fl03-20141217-0014-e90.fits 57009.0471141 521.0 10.198039027185569
cpt1m010-kb70-20141217-0153-e90.fits 57009.0495521 397.0 18.2208671582886
lsc1m009-fl03-20141217-0015-e90.fits 57009.0511329 498.0 11.269427669584644
cpt1m010-kb70-20141217-0154-e90.fits 57009.0534789 406.0 17.97220075561143
lsc1m009-fl03-20141217-0016-e90.fits 57009.0553484 254.0 10.344080432788601
cpt1m010-kb70-20141217-0155-e90.fits 57009.0571273 418.0 16.06237840420901
lsc1m009-fl03-20141217-0017-e90.fits 57009.0595579 493.0 13.527749258468683
cpt1m010-kb70-20141217-0156-e90.fits 57009.0611341 427.0 15.7797338380595
lsc1m009-fl03-20141217-0018-e90.fits 57009.0636404 485.0 15.620499351813308
cpt1m010-kb70-20141217-0157-e90.fits 57009.0650508 444.0 18.439088914585774
lsc1m009-fl03-20141217-0019-e90.fits 57009.0676583 479.0 12.083045973594572
cpt1m010-kb70-20141217-0158-e90.fits 57009.0687102 461.0 17.97220075561143
lsc1m009-fl03-20141217-0020-e90.fits 57009.0716941 476.0 10.0
cpt1m010-kb70-20141217-0159-e90.fits 57009.0723651 476.0 15.905973720586866
lsc1m009-fl03-20141217-0021-e90.fits 57009.0757084 478.0 12.12435565298214
cpt1m010-kb70-20141217-0160-e90.fits 57009.0760284 503.0 16.76305461424021
cpt1m010-kb70-20141217-0161-e90.fits 57009.079706 550.0 17.05872210923198
lsc1m009-fl03-20141217-0022-e90.fits 57009.0797308 484.0 13.856406460551018
cpt1m010-kb70-20141217-0162-e90.fits 57009.0833598 646.0 15.937377450509228
lsc1m009-fl03-20141217-0023-e90.fits 57009.0837531 484.0 13.856406460551018
lsc1m009-fl03-20141217-0024-e90.fits 57009.0878199 487.0 15.556349186104045
lsc1m009-fl03-20141217-0025-e90.fits 57009.0918563 488.0 11.704699910719626
lsc1m009-fl03-20141217-0026-e90.fits 57009.0958952 489.0 13.674794331177344
lsc1m009-fl03-20141217-0027-e90.fits 57009.0999118 487.0 13.74772708486752
lsc1m009-fl03-20141217-0028-e90.fits 57009.1039548 487.0 13.74772708486752
lsc1m009-fl03-20141217-0029-e90.fits 57009.1081191 262.0 11.74734012447073
lsc1m009-fl03-20141217-0030-e90.fits 57009.1123301 478.0 12.12435565298214
lsc1m009-fl03-20141217-0031-e90.fits 57009.1164081 485.0 13.820274961085254
lsc1m009-fl03-20141217-0032-e90.fits 57009.1204258 477.0 9.9498743710662
lsc1m009-fl03-20141217-0033-e90.fits 57009.12446 475.0 10.04987562112089
lsc1m009-fl03-20141217-0034-e90.fits 57009.1284895 476.0 12.206555615733702
lsc1m009-fl03-20141217-0035-e90.fits 57009.1325032 474.0 10.099504938362077
lsc1m009-fl03-20141217-0036-e90.fits 57009.1365246 470.0 10.295630140987
lsc1m009-fl03-20141217-0037-e90.fits 57009.1405567 470.0 10.295630140987
lsc1m009-fl03-20141217-0038-e90.fits 57009.1445992 474.0 12.288205727444508
lsc1m009-fl03-20141217-0039-e90.fits 57009.148633 470.0 7.681145747868608
lsc1m009-fl03-20141217-0040-e90.fits 57009.1526576 474.0 12.288205727444508
lsc1m009-fl03-20141217-0041-e90.fits 57009.1567155 476.0 14.142135623730951
lsc1m009-fl03-20141217-0042-e90.fits 57009.1607927 468.0 12.529964086141668
lsc1m009-fl03-20141217-0043-e90.fits 57009.1648391 469.0 14.38749456993816
lsc1m009-fl03-20141217-0044-e90.fits 57009.1688586 459.0 8.366600265340756
lsc1m009-fl03-20141217-0045-e90.fits 57009.1730716 229.0 13.076696830622021
lsc1m009-fl03-20141217-0046-e90.fits 57009.1772729 462.0 10.677078252031311
lsc1m009-fl03-20141217-0047-e90.fits 57009.1813376 456.0 10.954451150103322
lsc1m009-fl03-20141217-0048-e90.fits 57009.1853584 454.0 11.045361017187261
lsc1m009-fl03-20141217-0049-e90.fits 57009.1893897 450.0 13.228756555322953
lsc1m009-fl03-20141217-0050-e90.fits 57009.1934284 447.0 13.341664064126334
lsc1m009-fl03-20141217-0051-e90.fits 57009.1974545 449.0 13.2664991614216
lsc1m009-fl03-20141217-0052-e90.fits 57009.2014772 443.0 11.532562594670797
lsc1m009-fl03-20141217-0053-e90.fits 57009.2055204 440.0 13.601470508735444
lsc1m009-fl03-20141217-0054-e90.fits 57009.2095357 436.0 9.643650760992955
lsc1m009-fl03-20141217-0055-e90.fits 57009.2135575 433.0 9.797958971132712
lsc1m009-fl03-20141217-0056-e90.fits 57009.2175833 438.0 11.74734012447073
lsc1m009-fl03-20141217-0057-e90.fits 57009.2216103 438.0 11.74734012447073
lsc1m009-fl03-20141217-0058-e90.fits 57009.2256273 436.0 11.832159566199232
lsc1m009-fl03-20141217-0059-e90.fits 57009.2296517 443.0 13.490737563232042
lsc1m009-fl03-20141217-0060-e90.fits 57009.233891 220.0 13.416407864998739
lsc1m009-fl03-20141217-0061-e90.fits 57009.2380996 447.0 13.341664064126334
lsc1m009-fl03-20141217-0062-e90.fits 57009.2421663 459.0 12.884098726725126
lsc1m009-fl03-20141217-0063-e90.fits 57009.2461954 459.0 8.366600265340756
lsc1m009-fl03-20141217-0064-e90.fits 57009.2502205 462.0 12.767145334803704
lsc1m009-fl03-20141217-0065-e90.fits 57009.2542481 464.0 10.583005244258363
lsc1m009-fl03-20141217-0066-e90.fits 57009.2582661 471.0 10.246950765959598
lsc1m009-fl03-20141217-0067-e90.fits 57009.2622933 476.0 14.142135623730951
lsc1m009-fl03-20141217-0068-e90.fits 57009.2663118 486.0 11.789826122551595
lsc1m009-fl03-20141217-0069-e90.fits 57009.2703304 499.0 13.30413469565007
lsc1m009-fl03-20141217-0070-e90.fits 57009.2743468 511.0 12.84523257866513
lsc1m009-fl03-20141217-0071-e90.fits 57009.2783707 518.0 12.569805089976535
lsc1m009-fl03-20141217-0072-e90.fits 57009.2824032 525.0 10.0
lsc1m009-fl03-20141217-0073-e90.fits 57009.2864263 542.0 13.674794331177344
lsc1m009-fl03-20141217-0074-e90.fits 57009.2904465 562.0 10.677078252031311
lsc1m009-fl03-20141217-0075-e90.fits 57009.2946755 579.0 9.848857801796104
lsc1m009-fl03-20141217-0076-e90.fits 57009.2987372 599.0 17.349351572897472
lsc1m009-fl03-20141217-0077-e90.fits 57009.3027591 621.0 12.767145334803704
lsc1m009-fl03-20141217-0078-e90.fits 57009.3067944 633.0 6.557438524302
lsc1m009-fl03-20141217-0079-e90.fits 57009.310817 636.0 16.24807680927192
lsc1m009-fl03-20141217-0080-e90.fits 57009.3148323 649.0 11.61895003862225
coj1m003-kb71-20141218-0083-e90.fits 57009.4225868 1928.0 9.848857801796104
coj1m003-kb71-20141218-0084-e90.fits 57009.4262357 1109.0 0.0
coj1m003-kb71-20141218-0085-e90.fits 57009.4298945 680.0 16.76305461424021
coj1m003-kb71-20141218-0086-e90.fits 57009.4335502 500.0 13.2664991614216
coj1m003-kb71-20141218-0087-e90.fits 57009.4372041 411.0 17.832554500127006
coj1m003-kb71-20141218-0088-e90.fits 57009.4408606 372.0 17.435595774162696
coj1m003-kb71-20141218-0089-e90.fits 57009.4446941 227.0 21.18962010041709
coj1m003-kb71-20141218-0090-e90.fits 57009.4485062 345.0 18.193405398660254
coj1m003-kb71-20141218-0091-e90.fits 57009.452163 322.0 17.406895185529212
coj1m003-kb71-20141218-0092-e90.fits 57009.4558195 306.0 19.235384061671343
coj1m003-kb71-20141218-0093-e90.fits 57009.4594807 306.0 14.933184523068078
coj1m003-kb71-20141218-0094-e90.fits 57009.463134 270.0 18.841443681416774
coj1m003-kb71-20141218-0095-e90.fits 57009.4667942 267.0 16.186414056238647
coj1m003-kb71-20141218-0096-e90.fits 57009.4704545 267.0 20.223748416156685
coj1m003-kb71-20141218-0097-e90.fits 57009.4741126 264.0 17.663521732655695
coj1m003-kb71-20141218-0098-e90.fits 57009.4777723 263.0 16.30950643030009
coj1m003-kb71-20141218-0099-e90.fits 57009.4814255 278.0 15.84297951775486
coj1m003-kb71-20141218-0100-e90.fits 57009.485086 275.0 17.349351572897472
coj1m003-kb71-20141218-0101-e90.fits 57009.4887445 262.0 16.34013463836819
coj1m003-kb71-20141218-0102-e90.fits 57009.4924033 265.0 17.635192088548397
coj1m003-kb71-20141218-0103-e90.fits 57009.4960641 266.0 17.60681686165901
coj1m003-kb71-20141218-0104-e90.fits 57009.4997201 264.0 16.278820596099706
coj1m003-kb71-20141218-0105-e90.fits 57009.50338 261.0 14.933184523068078
coj1m003-kb71-20141218-0106-e90.fits 57009.5071895 190.0 17.146428199482248
coj1m003-kb71-20141218-0107-e90.fits 57009.5110171 262.0 13.379088160259652
coj1m003-kb71-20141218-0108-e90.fits 57009.5146836 265.0 18.973665961010276
coj1m003-kb71-20141218-0109-e90.fits 57009.518339 264.0 14.832396974191326
coj1m003-kb71-20141218-0110-e90.fits 57009.5220004 263.0 14.866068747318506
coj1m003-kb71-20141218-0111-e90.fits 57009.5256559 263.0 14.866068747318506
coj1m003-kb71-20141218-0112-e90.fits 57009.5293173 265.0 17.635192088548397
coj1m003-kb71-20141218-0113-e90.fits 57009.5329778 260.0 14.966629547095765
coj1m003-kb71-20141218-0114-e90.fits 57009.5366373 266.0 16.217274740226856
coj1m003-kb71-20141218-0115-e90.fits 57009.5403649 263.0 17.69180601295413
coj1m003-kb71-20141218-0116-e90.fits 57009.5440299 260.0 14.966629547095765
coj1m003-kb71-20141218-0117-e90.fits 57009.5476878 260.0 14.966629547095765
coj1m003-kb71-20141218-0118-e90.fits 57009.5514474 260.0 17.776388834631177
coj1m003-kb71-20141218-0119-e90.fits 57009.5551015 260.0 16.401219466856727
coj1m003-kb71-20141218-0120-e90.fits 57009.5587604 259.0 15.0
coj1m003-kb71-20141218-0121-e90.fits 57009.5624283 260.0 14.966629547095765
coj1m003-kb71-20141218-0122-e90.fits 57009.5660855 260.0 16.401219466856727
coj1m003-kb71-20141218-0123-e90.fits 57009.5697616 266.0 18.947295321496416
coj1m003-kb71-20141218-0124-e90.fits 57009.5736084 183.0 18.601075237738275
coj1m003-kb71-20141218-0125-e90.fits 57009.5774186 267.0 17.578395831246947
coj1m003-kb71-20141218-0126-e90.fits 57009.5810809 268.0 16.15549442140351
coj1m003-kb71-20141218-0127-e90.fits 57009.5847439 270.0 17.4928556845359
coj1m003-kb71-20141218-0128-e90.fits 57009.5884038 270.0 17.4928556845359
coj1m003-kb71-20141218-0129-e90.fits 57009.5920599 271.0 17.46424919657298
